iter	Passed	Remaining
726	849	318
727	850	317
728	851	316
729	852	315
730	853	313
731	854	312
732	854	311
733	855	310
734	856	308
735	857	307
736	858	306
737	859	304
738	860	303
739	861	302
740	862	301
741	864	300
742	864	299
743	865	297
744	866	296
745	867	295
746	868	294
747	869	292
748	869	291
749	870	290
750	871	288
751	872	287
752	873	286
753	874	285
754	875	284
755	876	283
756	877	281
757	878	280
758	879	279
759	880	278
760	881	276
761	882	275
762	882	274
763	884	273
764	885	271
765	885	270
766	886	269
767	887	268
768	888	266
769	889	265
770	890	264
771	891	263
772	892	261
773	894	261
774	898	260
775	899	259
776	901	258
777	903	257
778	904	256
779	906	255
780	908	254
781	909	253
782	910	252
783	912	251
784	913	250
785	913	248
786	914	247
787	916	246
788	918	245
789	919	244
790	920	243
791	921	242
792	923	240
793	924	239
794	925	238
795	926	237
796	927	236
797	928	234
798	929	233
799	930	232
800	931	231
801	932	230
802	933	228
803	934	227
804	935	226
805	936	225
806	937	224
807	939	223
808	940	221
809	940	220
810	941	219
811	942	218
812	943	217
813	944	215
814	945	214
815	946	213
816	947	212
817	947	210
818	948	209
819	949	208
820	950	207
821	951	206
822	953	205
823	954	203
824	956	202
825	957	201
826	959	200
827	960	199
828	962	198
829	963	197
830	964	196
831	966	195
832	967	193
833	968	192
834	969	191
835	971	190
836	972	189
837	974	188
838	975	187
839	976	185
840	976	184
841	977	183
842	978	182
843	979	180
844	980	179
845	981	178
846	981	177
847	982	176
848	983	174
849	984	173
850	985	172
851	987	171
852	988	170
853	990	169
854	991	168
855	992	167
856	994	165
857	995	164
858	997	163
859	998	162
860	999	161
861	1000	160
862	1002	159
863	1003	158
864	1005	156
865	1006	155
866	1007	154
867	1008	153
868	1008	152
869	1010	150
870	1011	149
871	1013	148
872	1014	147
873	1015	146
874	1017	145
875	1019	144
876	1020	143
877	1022	142
878	1024	141
879	1026	139
880	1027	138
881	1028	137
882	1029	136
883	1030	135
884	1031	134
885	1032	132
886	1033	131
887	1033	130
888	1034	129
889	1036	128
890	1037	126
891	1038	125
892	1039	124
893	1041	123
894	1042	122
895	1044	121
896	1045	120
897	1046	118
898	1047	117
899	1048	116
900	1050	115
901	1051	114
902	1051	113
903	1052	111
904	1053	110
905	1054	109
906	1055	108
907	1056	107
908	1057	105
909	1058	104
910	1059	103
911	1061	102
912	1062	101
913	1063	100
914	1065	98
915	1066	97
916	1067	96
917	1068	95
918	1069	94
919	1070	93
920	1071	91
921	1072	90
922	1073	89
923	1074	88
924	1075	87
925	1076	86
926	1078	84
927	1079	83
928	1080	82
929	1081	81
930	1081	80
931	1082	79
932	1084	77
933	1085	76
934	1086	75
935	1087	74
936	1088	73
937	1089	72
938	1091	70
939	1092	69
940	1094	68
941	1095	67
942	1096	66
943	1097	65
944	1098	63
945	1099	62
946	1100	61
947	1101	60
948	1102	59
949	1103	58
950	1104	56
951	1104	55
952	1105	54
953	1106	53
954	1107	52
955	1108	51
956	1109	49
957	1110	48
958	1110	47
959	1111	46
960	1112	45
961	1114	44
962	1116	42
963	1117	41
964	1119	40
965	1121	39
966	1122	38
967	1123	37
968	1125	35
969	1126	34
970	1127	33
971	1128	32
972	1129	31
973	1130	30
974	1131	29
975	1132	27
976	1133	26
977	1134	25
978	1135	24
979	1136	23
980	1136	22
